KPid,Type,NameFilm,Year,Countries,Genres,ratingKP,ratingImdb,ratingMpaa,ratingAgeLimits,Description,WebUrl,WebUrl2,PosterUrl
258346,TV_SERIES,Дневник Литтона,1985.0,['Великобритания'],['драма'],,6.9,,,,https://w4.kpfr.wiki/film/258346/,https://www.kinopoisk.ru/film/258346/,https://kinopoiskapiunofficial.tech/images/posters/kp/258346.jpg
258343,FILM,Цвет войны 6: Адольф Гитлер,2004.0,['Великобритания'],"['военный', 'документальный']",7.1,7.6,,age0,"Этот человек 12 лет властвовал над Германией. Он поднял страну из глубокого экономического кризиса, низвергнул мировое господство Европы и создал Новый Мировой Порядок. Воспоминания о царстве террора Гитлера, гибели миллионов до сих пор приводит людей в панику.

Его дьявольской личности посвящена шестая часть «Цвета Войны». Расцвет и падение человека, который разрушил жизни бессчетного количества невинных людей, принес боль и страдание всему миру. Ошеломляющая и страшная история фашиста-легенды.",https://w4.kpfr.wiki/film/258343/,https://www.kinopoisk.ru/film/258343/,https://kinopoiskapiunofficial.tech/images/posters/kp/258343.jpg
258338,TV_SERIES,Мятежники,2004.0,['Мексика'],"['драма', 'мелодрама', 'комедия', 'музыка', 'семейный', 'мюзикл']",7.4,6.9,,,"Герои учатся и живут в частной школе-интернате. У многих богатые родители, у других - нет. Главные герои - Мия, Роберта, Мигель, Диего, Джованни и Лупита - совершенно разные и не похожие на других, но их объединяет нечто общее - любовь к музыке. Они создают свою группу, постепенно сближаются и становятся друзьями. Ребята влюбляются, решают проблемы, помогают друг другу, ну и конечно же поют...",https://w4.kpfr.wiki/film/258338/,https://www.kinopoisk.ru/film/258338/,https://kinopoiskapiunofficial.tech/images/posters/kp/258338.jpg
258334,FILM,Планета динозавров,2007.0,"['США', 'Германия', 'Румыния']","['триллер', 'фантастика', 'приключения', 'боевик', 'комедия', 'ужасы']",2.7,2.8,,age16,"2066-й год. Динозавры на самом деле не вымерли, а продолжают усиленно размножаться во всех уголках Вселенной. Скоро совсем не останется места, где люди могли бы спокойно жить. Единственная надежда человечества - это группа солдат...",https://w4.kpfr.wiki/film/258334/,https://www.kinopoisk.ru/film/258334/,https://kinopoiskapiunofficial.tech/images/posters/kp/258334.jpg
258333,TV_SERIES,Мобильный воин Гандам 0083: Память о Звездной пыли,1991.0,['Япония'],"['драма', 'фантастика', 'боевик', 'мультфильм', 'аниме']",6.3,7.7,,,,https://w4.kpfr.wiki/film/258333/,https://www.kinopoisk.ru/film/258333/,https://kinopoiskapiunofficial.tech/images/posters/kp/258333.jpg
258332,TV_SERIES,Крадущийся в ночи,2005.0,['США'],"['триллер', 'драма', 'криминал', 'детектив', 'фантастика', 'фэнтези', 'ужасы']",7.2,6.3,,age16,"Карл Колчак приступает к расследованию таинственного исчезновения беременной женщины. Когда полиция находит ее тело, улики указывают на мужа убитой. Но Колчак верит в невиновность мужчины и приходит к выводу, что в этом деле замешаны сверхъестественные силы.",https://w4.kpfr.wiki/film/258332/,https://www.kinopoisk.ru/film/258332/,https://kinopoiskapiunofficial.tech/images/posters/kp/258332.jpg
258329,TV_SERIES,Капитан Скарлет,2005.0,['Великобритания'],"['фантастика', 'боевик', 'мультфильм']",5.3,7.5,,,"Ошибочное нападение исследователей Марса на город мистеронов привело землян к межпланетной войне. Шансы не равны: враги обладают способностями, людям недоступными - возрождаются после смерти как ни в чем не бывало. Но благодаря промаху мистеронов, у человечества есть секретное оружие - Капитан Скарлет.",https://w4.kpfr.wiki/film/258329/,https://www.kinopoisk.ru/film/258329/,https://kinopoiskapiunofficial.tech/images/posters/kp/258329.jpg
258328,FILM,История игрушек: Большой побег,2010.0,"['США', 'Япония']","['приключения', 'фэнтези', 'комедия', 'мультфильм', 'семейный']",7.9,8.3,g,age0,"Энди почти 18 лет, ему остаётся 3 дня до отправки в колледж, в то время как его игрушки, в том числе Вуди и Базз Лайтер, гадают о своём будущем.

Куда забросит их судьба? На чердак, на свалку или, может быть, в детский сад «Солнышко»?

События развиваются в самом неожиданном направлении, и приключения полюбившихся героев продолжаются!",https://w4.kpfr.wiki/film/258328/,https://www.kinopoisk.ru/film/258328/,https://kinopoiskapiunofficial.tech/images/posters/kp/258328.jpg
258327,TV_SERIES,Гангрейв,2003.0,['Япония'],"['криминал', 'фантастика', 'боевик', 'мультфильм', 'аниме']",7.9,7.9,,age16,"Брэндон Хит жаждет отомстить бывшему другу Гарри Макдауэлу, с которым он когда-то вступил в преступный синдикат. Парни были друг другу как братья, пока однажды Гарри не решил избавиться от Брэндона.",https://w4.kpfr.wiki/film/258327/,https://www.kinopoisk.ru/film/258327/,https://kinopoiskapiunofficial.tech/images/posters/kp/258327.jpg
258326,FILM,Бумажный детектив: Таинственный уик-энд,2005.0,['США'],['детектив'],,7.0,,age16,"Любительница детективов и хозяйка книжного магазина Саманта Кинси пригласила трёх наиболее популярных авторов для встречи с читателями. Этот рекламный трюк оборачивается реальным убийством и вынуждает Саманту выявить подозреваемых и мотивы убийства, прежде чем фанат-убийца нанесёт новый удар.",https://w4.kpfr.wiki/film/258326/,https://www.kinopoisk.ru/film/258326/,https://kinopoiskapiunofficial.tech/images/posters/kp/258326.jpg
258325,FILM,Бумажный детектив: Роковые снимки,2005.0,['США'],"['триллер', 'криминал', 'детектив']",6.2,6.8,,age16,"В автокатастрофе погибает брат Барбары, подруги Саманты — в полиции говорят, что он «по пьяни не вписался в поворот». Выстрелом в грудь на пороге своего дома убита сама Барбара — в полиции склоняются к версии ограбления. Однако при жизни   Барбара в беседах с Самантой говорила, что ее родственники ведут грязную игру вокруг наследства, и когда Барбара погибает,  Саманта ни минуты не сомневается, что ее подруга убита по другим причинам. Еще бы – кто же пойдет на ограбление с Люггером времен 2-й мировой войны? Да и брат Барбары из-за диабета давно бросил не то что пить, а даже выпивать!!! 

Полиция ее не слышит, и тогда любительница частного сыска берется за самостоятельное расследование с целью выяснить: был ли это зловещий семейный заговор, отягощенный круговой порукой, или орудует хитроумный одиночка… , а  наткнувшись на букет с запиской «Занимайся своими делами или эти цветы принесут на твою могилу» она понимает, что ее путь верный, хотя и ведет ее, как и все предыдущие расследования, по лезвию бритвы…",https://w4.kpfr.wiki/film/258325/,https://www.kinopoisk.ru/film/258325/,https://kinopoiskapiunofficial.tech/images/posters/kp/258325.jpg
258324,FILM,Таинственная женщина: Песнь об убийстве,2005.0,['США'],"['триллер', 'криминал', 'детектив']",,6.5,,age16,"Убит менеджер группы «Бродяги», благотворительный концерт которой Саманта Кинси помогала организовывать. Солистка, имеющая алиби, признаётся в убийстве. Продюсер, до сих пор неизвестный группе, задержан. Саманта, любительница частного сыска, не может оставаться в стороне и начинает свое расследование, в котором ей помогает Филби, друг и коллега.",https://w4.kpfr.wiki/film/258324/,https://www.kinopoisk.ru/film/258324/,https://kinopoiskapiunofficial.tech/images/posters/kp/258324.jpg
258323,FILM,Бумажный детектив: Предвидение убийства,2005.0,['США'],['детектив'],,6.7,,age16,"Саманта Кинси, решившая провести выходные на курорте, неожиданно оказывается втянутой в серьезные неприятности, связанные с убийством одной из посетительниц. Мотивы убийства могут быть различными: жадность, измена, предательство. И только экстрасенсу дано узнать, что же на самом деле произошло и почему?",https://w4.kpfr.wiki/film/258323/,https://www.kinopoisk.ru/film/258323/,https://kinopoiskapiunofficial.tech/images/posters/kp/258323.jpg
